temporal_marker,concept,weight
时代,发展,641
时代,社会主义,527
时代,特色,520
时代,思想,476
时代,建设,383
时代,现代化,291
时代,我们,254
时代,命运,247
时代,共同体,247
时代,国家,200
时代,创新,195
时代,战略,185
时代,人民,184
时代,理论,177
时代,中国式,176
时代,文化,175
时代,强国,168
时代,世界,160
时代,合作,155
时代,精神,154
时代,人类,147
时代,国际,147
时代,安全,105
以来,发展,88
征程,发展,78
征程,现代化,77
时代,和平,71
征程,建设,71
征程,社会主义,66
征程,中国式,56
征程,我们,56
征程,强国,50
征程,特色,47
历史,发展,44
以来,建设,41
征程,思想,41
以来,特色,38
以来,社会主义,38
历史,我们,36
以来,我们,36
以来,思想,33
以来,国家,32
以来,现代化,32
历史,特色,31
历史,社会主义,31
征程,精神,28
历史,建设,27
征程,国家,27
以来,理论,26
历史,人民,25
历史,思想,25
以来,创新,25
以来,战略,25
以来,共同体,25
以来,人民,24
以来,命运,24
征程,人民,24
以来,国际,23
征程,创新,22
历史,人类,21
历史,文化,21
以来,合作,21
征程,文化,21
征程,理论,21
以来,世界,20
历史,现代化,19
历史,世界,19
历史,命运,18
历史,共同体,18
以来,中国式,18
历史,战略,17
征程,战略,17
历史,精神,16
征程,人类,16
历史,国家,15
历史,创新,14
历史,理论,14
历史,中国式,14
未来,发展,14
征程,国际,13
征程,和平,13
以来,人类,12
征程,命运,12
征程,世界,11
征程,共同体,11
以来,文化,10
历史,国际,9
历史,合作,9
以来,强国,9
以来,精神,9
以来,安全,9
未来,人类,9
未来,共同体,9
征程,安全,9
未来,特色,8
未来,我们,8
未来,思想,8
未来,世界,8
未来,命运,8
征程,合作,8
当前,特色,7
当前,社会主义,7
当前,发展,7
未来,社会主义,7
历史,强国,6
历史,和平,6
当前,建设,6
未来,建设,6
走向,建设,5
当前,国际,5
当前,思想,5
当前,现代化,5
迈向,现代化,5
迈向,发展,5
未来,战略,5
未来,国际,5
过去,特色,4
过去,社会主义,4
过去,思想,4
历史,安全,4
面向未来,战略,4
走向,社会主义,4
走向,特色,4
走向,精神,4
走向,文化,4
走向,我们,4
以来,和平,4
当前,强国,4
迈向,特色,4
迈向,社会主义,4
未来,文化,4
未来,和平,4
面向未来,命运,3
面向未来,共同体,3
走向,现代化,3
走向,国家,3
走向,世界,3
走向,发展,3
走向,人民,3
当前,创新,3
当前,国家,3
当前,中国式,3
今天,发展,3
今天,人类,3
迈向,理论,3
未来,国家,3
未来,人民,3
过去,发展,2
走向,和平,2
走向,中国式,2
当前,人民,2
当前,合作,2
当前,战略,2
当前,命运,2
当前,共同体,2
当前,我们,2
今天,人民,2
今天,命运,2
今天,建设,2
今天,精神,2
今天,共同体,2
今天,强国,2
迈向,建设,2
迈向,战略,2
迈向,创新,2
迈向,思想,2
迈向,世界,2
迈向,国际,2
迈向,合作,2
未来,现代化,2
未来,精神,2
未来,合作,2
未来,理论,2
未来,创新,2
过去,创新,1
过去,我们,1
过去,建设,1
过去,精神,1
过去,命运,1
过去,世界,1
过去,国家,1
过去,共同体,1
如今,建设,1
如今,强国,1
如今,人民,1
面向未来,创新,1
面向未来,理论,1
面向未来,发展,1
面向未来,世界,1
面向未来,社会主义,1
面向未来,精神,1
面向未来,合作,1
走向,战略,1
走向,国际,1
走向,合作,1
走向,强国,1
走向,思想,1
当前,理论,1
当前,和平,1
当前,世界,1
